INFO:root:Feature_selection = None
INFO:root:Algorithm = Logreg
INFO:root:Runtime = Hyperperameter optimization in Logistic regression with C in np.linspace(0.01,5,100) and other default parameters. Features used as they are.
 Validation set has 400 points. Max_iters decreased to 50.
INFO:root:C = 0.01 	 Train F1 = 0.9126281844027047 	 Validation F1 = 0.8291646303078573
INFO:root:C = 0.06040404040404041 	 Train F1 = 0.939418545905595 	 Validation F1 = 0.8668433274959366
INFO:root:C = 0.11080808080808081 	 Train F1 = 0.9466517055162625 	 Validation F1 = 0.8790798604211839
INFO:root:C = 0.16121212121212125 	 Train F1 = 0.9517922838209754 	 Validation F1 = 0.8817477833473284
INFO:root:C = 0.21161616161616165 	 Train F1 = 0.9543743273810936 	 Validation F1 = 0.8866554525505733
INFO:root:C = 0.26202020202020204 	 Train F1 = 0.9584918945080083 	 Validation F1 = 0.8890886047923086
INFO:root:C = 0.3124242424242425 	 Train F1 = 0.9615750712779167 	 Validation F1 = 0.8890886047923086
INFO:root:C = 0.3628282828282829 	 Train F1 = 0.9646425933249934 	 Validation F1 = 0.8890886047923086
INFO:root:C = 0.4132323232323233 	 Train F1 = 0.9666915645263043 	 Validation F1 = 0.8942311055263161
INFO:root:C = 0.4636363636363637 	 Train F1 = 0.9677068329813328 	 Validation F1 = 0.8967892512143086
INFO:root:C = 0.5140404040404041 	 Train F1 = 0.9713008750208078 	 Validation F1 = 0.8968128727131305
INFO:root:C = 0.5644444444444445 	 Train F1 = 0.9723125214920703 	 Validation F1 = 0.8944655909120229
INFO:root:C = 0.614848484848485 	 Train F1 = 0.9743697078200049 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.6652525252525253 	 Train F1 = 0.9759159997406587 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.7156565656565658 	 Train F1 = 0.9769324894454223 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.7660606060606061 	 Train F1 = 0.9784836980800959 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.8164646464646466 	 Train F1 = 0.9795001101273639 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.866868686868687 	 Train F1 = 0.9810352838458867 	 Validation F1 = 0.8995943295918469
INFO:root:C = 0.9172727272727274 	 Train F1 = 0.9815540120788668 	 Validation F1 = 0.9022257049949758
